Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Congo, Rep.",...,...,Development,GDP (current US$ Mil),          12267.39,          13518.40,          11198.67,          10335.42,          11953.25,          17783.53,          17958.72,          17692.91,          15655.38,          13148.40,           9723.30,          11649.86,           8782.70,           8072.31,           6650.00,           4656.98,           3503.72,           3034.25,           2796.70,           3219.91,           2353.91,           1949.48,           2322.72,           2540.70,           2116.00,           1769.37,           1918.97,           2933.22,           2724.85,           2798.75,           2389.59,           2212.54
"Congo, Rep.",...,...,Export,No. Of Export partners,            116.00,            113.00,            123.00,            107.00,            104.00,             95.00,            102.00,             96.00,             99.00,             96.00,             96.00,             92.00,             98.00,,,,,,,,,,,,             52.00,             58.00,             52.00,,,,,
"Congo, Rep.",...,...,Export,No. Of Export products,           1071.00,           1014.00,           1071.00,            981.00,            786.00,            790.00,            686.00,            771.00,            934.00,            673.00,            660.00,            673.00,            594.00,,,,,,,,,,,,            378.00,            393.00,            314.00,,,,,
"Congo, Rep.",...,...,Import,No. Of Import partners,            138.00,            133.00,            133.00,            174.00,            172.00,            186.00,            117.00,            119.00,            118.00,            128.00,            128.00,            121.00,            127.00,,,,,,,,,,,,             85.00,             82.00,             83.00,,,,,
"Congo, Rep.",...,...,Import,No. Of Import products,           3308.00,           3292.00,           3393.00,           3451.00,           3499.00,           3487.00,           3395.00,           3329.00,           3237.00,           3110.00,           3100.00,           3025.00,           3098.00,,,,,,,,,,,,           2382.00,           2539.00,           1777.00,,,,,
"Congo, Rep.",...,...,Tariff,No. Of Tariff Agreement,,,,,              2.00,              2.00,              2.00,,              2.00,              2.00,              2.00,              2.00,              2.00,,,,,,,,,,,,,              1.00,,,,,,
"Congo, Rep.",...,...,Development,Trade Balance (current US$ Mil),           1953.88,           3010.60,            322.06,          -4167.32,          -4427.61,            370.87,           2310.52,           3312.05,           3543.08,           1708.16,           -641.01,           1595.72,          -1020.19,           2367.40,           2025.41,           1382.72,            166.88,            836.75,            674.22,           1181.21,            310.39,             71.23,            358.51,            216.18,             23.20,           -277.83,            220.62,            711.12,            370.16,            916.18,            327.26,              4.36
"Congo, Rep.",Angola,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            273.09,            519.81,            842.53,            892.88,           1037.94,            891.37,,           1197.01,            903.44,            952.95,,            332.34,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Angola,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            137.64,,,,,,           1261.58,           1878.94,            859.49,            656.84,            680.52,            266.83,            867.16,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Australia,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,            686.68,            820.30,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.","Bahamas, The",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            907.37,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            230.84,            225.83,            367.75,,,,,            362.42,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,            365.37,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,            452.11,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Bunkers,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,             50.80,,,,,,,
"Congo, Rep.",Cameroon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            423.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           3333.65,           6992.12,           2993.72,            921.00,           1377.02,           2016.67,           4228.11,           1596.81,           3850.54,           1446.69,           1793.77,           3573.17,           2704.29,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            256.30,            476.18,            357.07,            919.85,           1058.12,            794.22,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Equatorial Guinea,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,            269.33,            281.87,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,            544.55,            931.76,           1018.31,            867.65,           1073.48,            875.47,,,,,,,,,,,,,            107.34,             56.25,             79.49,,,,,
"Congo, Rep.",France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            336.83,            401.68,            358.79,,            660.87,,            761.43,            603.23,            533.94,            533.81,            549.17,            362.38,            474.50,,,,,,,,,,,,            145.11,            127.48,            113.91,,,,,
"Congo, Rep.",Free Zones,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,             56.40,,,,,,,
"Congo, Rep.",Gabon,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            390.59,,            657.17,,            707.60,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Gabon,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,            239.63,,,,,           1021.48,            879.08,           1003.15,,,            646.01,            234.48,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Ghana,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            742.65,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Heard Island and McDonald Isla,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,            463.18,           1026.52,            733.24,            763.53,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Heard Island and McDonald Isla,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,            464.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Iceland,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,            727.06,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            735.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,            740.21,,,,,,,,,,,,,,,,,,,,,,,            189.61,            191.79,            226.30,,,,,
"Congo, Rep.",Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,            228.91,,,,,,,,,,,,,,             17.06,             66.22,,,,,
