Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),       22792800.00,       23145700.00,       21610800.00,       20388800.00,       20450300.00,       23738500.25,       23420999.83,       22412500.40,       23250000.15,       20967698.99,       20471200.35,       23274100.62,       21201900.54,       18146299.74,       16757300.40,       15738400.15,       13500599.50,       11088800.25,       10143000.43,       10032199.50,       10659399.99,       10781300.10,       10511000.27,       11079500.43,       10856799.67,        9402809.58,        8992739.82,        9790979.83,        9129990.03,        8853719.61,        7237180.00,        7141610.00
,...,...,Export,No. Of Export partners,            237.00,            238.00,            238.00,            238.00,            238.00,            238.00,            239.00,            237.00,            237.00,            234.00,            235.00,            234.00,            235.00,            236.00,            233.00,            234.00,            235.00,            236.00,            235.00,            233.00,            222.00,            218.00,            220.00,            220.00,            225.00,            226.00,            226.00,            217.00,            193.00,            194.00,            196.00,            195.00
,...,...,Export,No. Of Export products,           4589.00,           4601.00,           4603.00,           4582.00,           4582.00,           4594.00,           4614.00,           4618.00,           4611.00,           4753.00,           4756.00,           4777.00,           4836.00,           4901.00,           4902.00,           4917.00,           4913.00,           4924.00,           4945.00,           4990.00,           5015.00,           5012.00,           5017.00,           5027.00,           5037.00,           5037.00,           5036.00,           5032.00,           5031.00,           5030.00,           5034.00,           5026.00
,...,...,Import,No. Of Import partners,            237.00,            238.00,            238.00,            238.00,            238.00,            238.00,            239.00,            237.00,            236.00,            235.00,            235.00,            235.00,            235.00,            236.00,            234.00,            234.00,            235.00,            235.00,            236.00,            234.00,            222.00,            221.00,            220.00,            222.00,            225.00,            224.00,            224.00,            217.00,            191.00,            196.00,            197.00,            194.00
,...,...,Import,No. Of Import products,           4608.00,           4611.00,           4612.00,           4582.00,           4582.00,           4620.00,           4629.00,           4629.00,           4611.00,           4828.00,           4823.00,           4857.00,           4916.00,           4921.00,           4924.00,           4930.00,           4930.00,           4932.00,           4947.00,           5007.00,           5024.00,           5024.00,           5029.00,           5034.00,           5037.00,           5037.00,           5037.00,           5035.00,           5033.00,           5034.00,           5033.00,           5032.00
,...,...,Tariff,No. Of Tariff Agreement,            562.00,            466.00,           1182.00,           2042.00,           1797.00,           1754.00,           2286.00,           1783.00,           2212.00,           1976.00,           1662.00,           1898.00,           1269.00,           1410.00,            918.00,            741.00,           1051.00,           1069.00,            651.00,            731.00,           1246.00,            751.00,            600.00,           1053.00,            414.00,            193.00,            688.00,,            247.00,            235.00,,            418.00
,...,...,Development,Trade Balance (current US$ Mil),         790280.00,         869050.00,         718930.00,         673730.00,         732700.00,         786970.97,         715910.02,         646650.00,         491370.05,         385440.28,         367480.27,         330409.97,         296920.02,         287959.94,         289280.10,         303119.73,         232649.92,         221909.88,         156309.91,         115720.06,         131450.01,         153740.12,         181339.95,         174769.83,         159960.01,         127449.96,         112990.09,          62959.91,         -13849.85,         -48980.03,         -58630.00,         -35030.00
,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,          61008.73,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         637874.48,         636126.63,         586434.71,         534553.09,         525137.85,         573743.69,         542414.89,         530930.30,         564216.65,         506119.25,         393900.21,         484016.13,         406958.79,         306763.27,         244531.56,,,,,,,,,,,,,,,,,
,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         494235.89,         514581.38,         473658.19,         436985.92,         434199.77,         517220.69,         526269.84,         510634.82,         556419.42,         473631.63,         445332.05,         554631.86,         493738.26,         441828.18,         393795.54,         365573.69,         307988.68,         254517.56,         243616.92,         245942.42,         231404.22,         194242.03,         183684.76,         189166.88,         183444.53,         150891.32,         106718.95,         102873.52,          77519.90,          77820.25,          64969.31,          48722.69
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         372183.65,         388648.12,         360569.20,         333268.22,         336516.78,         400663.88,         395138.42,         384413.02,         408862.00,         359884.82,         336116.69,         436376.61,         407334.28,         357498.60,         317904.11,         311281.11,         266254.47,         220639.32,         210083.18,         211922.47,         210563.84,         187783.58,         177181.30,         175710.47,         169448.22,         140063.76,          99748.06,          97111.96,          76709.43,          70155.98,          55024.10,          40179.45
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         894488.69,         940049.92,         837878.46,         766617.24,         760000.52,         890830.17,         870400.85,         834263.94,         876114.34,         736804.22,         659150.01,         851992.65,         747734.31,         658383.12,         573852.24,         537386.84,         451363.69,         375379.37,         365068.65,         359912.80,         340029.78,         313904.98,         301455.67,         306929.78,         301242.23,         239305.33,         119770.38,         101279.82,          42404.23,,,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         908052.56,         974415.39,         897909.73,         823147.39,         806055.26,         926174.66,         914703.52,         884250.16,         965646.50,         827837.90,         743191.54,        1005199.81,         922990.55,         762925.96,         670112.50,         628813.65,         514513.00,         417993.67,         382753.09,         375102.39,         365675.73,         336944.16,         315150.86,         319196.87,         312295.91,         247650.49,         125409.72,         112463.68,          55867.24,          61934.29,          50261.66,          28043.01
,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,         336752.39,         307215.55,         425587.43,         363465.62,         319680.14,         278248.94,         259403.00,         217414.12,         178271.61,         164793.53,         162845.22,         149972.03,         138808.21,         133654.40,         129450.94,         125931.30,         101545.68,          64177.62,          72961.73,          53621.47,          54947.16,          46557.46,          35499.34
,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,         333233.46,,,         232091.49,         195723.00,         160794.09,,,         151944.64,         151127.52,         144521.69,         148815.90,         137659.98,         111652.89,          70375.99,          74362.85,          59422.81,          58725.25,          45124.33,          33082.12
,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         363158.49,         387068.85,         335443.99,         299670.42,         309422.28,         393912.53,         399284.92,         399383.38,         393881.14,,,,,,,,,,,,,,,,,,,,          42542.65,          42561.62,          35937.11,          31064.29
,Netherlands,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         387380.51,         411314.19,         372320.40,         335243.68,         332790.42,         411141.86,         416499.83,         391933.10,         407805.27,         338456.67,         297012.08,         389585.85,         353387.19,         300324.52,         262588.68,         239041.72,         194096.98,,         152122.03,         163462.38,,,,,,,,,          49069.64,          47371.33,          37457.04,          30768.10
,Russian Federation,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,         365268.21,,,,,,,,,,,,,,,,,,,,,,,
,United Kingdom,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         420476.36,         426242.88,         403843.81,         405130.21,         387864.22,         440341.71,         430034.09,         430645.82,         415463.89,         362388.14,         330990.04,         451270.04,         419166.41,         361581.56,         329078.61,         316266.38,         266756.13,         235222.00,         219295.43,         213064.71,         197066.94,         175648.92,         173358.75,         165070.92,         155679.88,         129238.35,          81236.98,          79262.08,          48298.25,          54051.22,          49651.02,          39208.24
,United Kingdom,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,         167557.53,         167395.01,         175736.36,         163161.14,         149157.98,         145114.10,         142288.42,         131276.32,         106017.70,          65703.18,          74667.12,,,,          24181.73
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         566623.42,         543567.24,         483819.27,         457769.56,         462261.72,         469723.13,         443183.09,         437317.93,         430510.33,         372887.97,         327765.34,         424855.73,         400425.28,         380895.81,         347530.42,         325185.29,         285578.92,         258058.87,         239819.12,         240764.50,         209885.20,         188865.70,         169707.36,         154947.62,         139131.50,         124959.17,          77779.03,,,          43188.97,          38512.14,          32802.87
