Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
"Egypt, Arab Rep.",...,...,Development,GDP (current US$ Mil),         303092.00,         249713.00,         235734.00,         332442.00,         329367.00,         305594.99,         288434.00,         279117.00,         235990.01,         218984.01,         189147.00,         162818.00,         130438.00,         107426.00,          89600.66,          78782.46,          80288.46,          85146.07,          96684.64,          99838.54,          90710.70,          84828.81,          78436.58,          67629.72,          60159.25,          51897.98,          46578.63,          41855.99,          37387.84,          42978.91,          39756.30,          34980.12
"Egypt, Arab Rep.",...,...,Export,No. Of Export partners,            173.00,            171.00,            169.00,            170.00,            166.00,            173.00,            172.00,            169.00,            170.00,            177.00,            176.00,            171.00,            171.00,            164.00,            167.00,            170.00,            165.00,            160.00,            158.00,            156.00,            151.00,            154.00,            153.00,            146.00,            145.00,            145.00,,,,,,
"Egypt, Arab Rep.",...,...,Export,No. Of Export products,           2450.00,           2585.00,           2650.00,           2541.00,           2539.00,           2637.00,           2713.00,           2751.00,           2783.00,           2903.00,           2917.00,           2835.00,           2271.00,           2141.00,           2229.00,           2349.00,           2243.00,           2128.00,           1951.00,           1799.00,           1686.00,           1758.00,           1700.00,           1786.00,           1798.00,           2040.00,,,,,,
"Egypt, Arab Rep.",...,...,Import,No. Of Import partners,            176.00,            176.00,            168.00,            168.00,            169.00,            174.00,            177.00,            172.00,            173.00,            173.00,            177.00,            157.00,            155.00,            150.00,            146.00,            155.00,            145.00,            155.00,            154.00,            144.00,            143.00,            150.00,            154.00,            146.00,            137.00,            141.00,,,,,,
"Egypt, Arab Rep.",...,...,Import,No. Of Import products,           4140.00,           4189.00,           4137.00,           4185.00,           4188.00,           4167.00,           4192.00,           4248.00,           4205.00,           4183.00,           4299.00,           4191.00,           4154.00,           4158.00,           4119.00,           3916.00,           3841.00,           3872.00,           3965.00,           3988.00,           4015.00,           4002.00,           3945.00,           3868.00,           3833.00,           3959.00,,,,,,
"Egypt, Arab Rep.",...,...,Tariff,No. Of Tariff Agreement,             21.00,             22.00,             21.00,             21.00,             21.00,             22.00,             10.00,              9.00,             11.00,             11.00,              6.00,              6.00,              1.00,              1.00,              7.00,              1.00,              1.00,              1.00,              1.00,              1.00,              1.00,              3.00,              1.00,,              1.00,,,,,,,
"Egypt, Arab Rep.",...,...,Development,Trade Balance (current US$ Mil),         -25051.25,         -26105.80,         -31800.27,         -31766.87,         -27924.53,         -25767.58,         -18279.07,         -22100.00,          -9724.61,         -11470.05,         -12558.98,          -9109.09,          -5971.98,          -1739.13,          -2029.95,          -1071.43,          -2076.92,          -3707.87,          -4690.03,          -6605.02,          -7490.42,          -8057.85,          -4749.26,          -3685.14,          -3096.43,          -2846.97,          -1980.79,          -1053.17,          -2957.79,          -5248.99,          -5782.73,          -6246.45
"Egypt, Arab Rep.",Bunkers,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,           1302.91,            968.75,,            780.92,            771.23,            566.70,            457.48,            506.57,            622.89,            359.10,            226.66,,,,,,,,,,
"Egypt, Arab Rep.",China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          12040.87,          11665.37,           8112.42,           8994.90,           9726.05,           8057.65,           7002.78,           6590.73,           5708.26,           4901.78,           3910.85,           4432.01,           1633.25,           1196.67,            914.54,            661.29,            535.49,            560.07,,            640.39,,,,,,,,,,,,
"Egypt, Arab Rep.",France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,            278.52,,,,,,,,,,,,
"Egypt, Arab Rep.",France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,            786.54,            923.57,            805.40,            577.07,            685.16,            592.26,,,,,,
"Egypt, Arab Rep.",Free Zones,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,           2641.65,           1602.99,           1186.86,            453.90,            384.93,            431.58,            291.64,,,,,,,,,,,,,
"Egypt, Arab Rep.",Free Zones,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,           4117.84,           2916.32,           2515.35,           1501.97,,           1231.86,            868.78,,            727.17,           1080.11,            546.75,            512.35,            570.21,            468.48,,,,,,
"Egypt, Arab Rep.",Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,            265.62,,            207.09,            209.72,,,,,,
"Egypt, Arab Rep.",Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           4338.86,           4208.05,           4530.96,           6056.65,           5747.29,           5540.06,           5246.84,           4669.98,           3930.01,           4023.95,           3602.23,           3261.96,           1778.78,,           1026.11,            859.65,            715.87,            824.47,            959.71,           1233.85,           1382.06,           1467.99,           1141.77,           1089.17,           1044.58,            913.37,,,,,,
"Egypt, Arab Rep.",India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,           1923.34,           2135.09,           2039.54,           2265.44,           1227.90,           1455.16,           1658.79,           1822.64,           1392.30,,,            464.99,            411.74,,,,,,,,,,,,,,
"Egypt, Arab Rep.",Israel,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,            186.92,,            327.85,            351.80,            176.32,            188.85,,,,,,
"Egypt, Arab Rep.",Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1694.14,           2062.16,           2209.49,           1494.37,           1607.14,           2454.46,           2702.82,           2324.48,           2719.42,           2199.16,           1585.48,           2700.43,           1584.88,           1266.34,           1079.87,            982.14,            757.75,            498.70,            378.56,            764.92,            352.49,            319.86,            437.96,            438.38,            458.78,            426.41,,,,,,
"Egypt, Arab Rep.",Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,           4380.21,           3323.55,,           3265.39,           3549.04,,           3123.82,           2962.53,           2652.22,           3019.63,,,,            614.80,            537.63,            629.68,            642.04,            929.90,           1049.32,           1111.13,            929.88,            870.85,            731.10,            613.77,,,,,,
"Egypt, Arab Rep.",Kuwait,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,           3515.90,,,           2786.82,,,,,           1084.06,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",Libya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,           1277.12,,,,,,,,,,,,,,,,,,,,,,,,,
