Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Spain,...,...,Development,GDP (current US$ Mil),        1393490.00,        1422150.00,        1312540.00,        1232080.00,        1195120.00,        1369400.02,        1354760.06,        1324819.94,        1478770.03,        1420719.95,        1485580.01,        1625220.06,        1472130.06,        1259340.04,        1153289.95,        1067089.99,         905491.97,         705393.98,         627287.00,         596877.97,         634693.03,         619215.00,         590076.97,         642589.00,         614608.99,         530563.01,         525076.00,         630915.99,         577165.98,         536558.99,         414757.00,         376160.00
Spain,...,...,Export,No. Of Export partners,            227.00,            223.00,            228.00,            230.00,            226.00,            224.00,            227.00,            221.00,            222.00,            223.00,            217.00,            224.00,            221.00,            220.00,            217.00,            219.00,            220.00,            215.00,            216.00,            208.00,            204.00,            200.00,            203.00,            196.00,            203.00,            197.00,            195.00,            192.00,            177.00,            183.00,            179.00,
Spain,...,...,Export,No. Of Export products,           4490.00,           4478.00,           4491.00,           4517.00,           4509.00,           4508.00,           4511.00,           4486.00,           4517.00,           4515.00,           4517.00,           4545.00,           4548.00,           4786.00,           4766.00,           4765.00,           4763.00,           4751.00,           4802.00,           4799.00,           4794.00,           4797.00,           4819.00,           4756.00,           4825.00,           4816.00,           4793.00,           4769.00,           4764.00,           4749.00,           4755.00,
Spain,...,...,Import,No. Of Import partners,            230.00,            232.00,            232.00,            228.00,            229.00,            227.00,            226.00,            226.00,            229.00,            223.00,            218.00,            220.00,            221.00,            215.00,            216.00,            218.00,            215.00,            218.00,            216.00,            206.00,            200.00,            198.00,            197.00,            194.00,            200.00,            196.00,            194.00,            199.00,            179.00,            182.00,            181.00,
Spain,...,...,Import,No. Of Import products,           4528.00,           4533.00,           4537.00,           4566.00,           4559.00,           4562.00,           4562.00,           4516.00,           4558.00,           4557.00,           4559.00,           4562.00,           4565.00,           4825.00,           4822.00,           4818.00,           4826.00,           4826.00,           4888.00,           4904.00,           4921.00,           4929.00,           4917.00,           4908.00,           4971.00,           4977.00,           4970.00,           4953.00,           4960.00,           4956.00,           4952.00,
Spain,...,...,Tariff,No. Of Tariff Agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,...,...,Development,Trade Balance (current US$ Mil),          41937.00,          38702.00,          47334.00,          49129.00,          36336.00,          42445.01,          53225.98,          27360.00,           4093.02,         -14560.99,         -12945.98,         -76963.02,         -85061.99,         -71714.01,         -55400.99,         -39484.01,         -19974.00,         -14046.00,         -14264.01,         -17642.00,         -12271.99,          -2833.01,           1023.00,          -1160.00,          -6891.01,          -5424.00,          -8044.95,         -22730.00,         -22839.46,         -22327.24,         -17334.48,          -7929.11
Spain,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          32639.04,          31797.41,          29159.46,          26378.80,          26242.88,          26485.81,          23059.56,          22671.31,          25932.84,          25005.97,          20123.25,          30277.93,          25382.67,          18050.43,          14557.16,          10613.25,,,,,,,,,,,,,,,,
Spain,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          49138.80,          51344.68,          46732.94,          43216.46,          42853.03,          50299.13,          49958.95,          46380.33,          53510.40,          45008.07,          43150.58,          50890.64,          47708.90,          40056.71,          36990.73,          35431.85,          29953.33,          23945.64,          22667.97,          22033.55,          21748.21,          21267.78,          19415.67,          20602.47,          18401.47,          14746.50,          11539.69,          13003.30,          12032.88,          11565.87,           8715.44,
Spain,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          37407.11,          40958.02,          37701.13,          34236.44,          33338.53,          38888.54,          36209.39,          34213.53,          39334.04,          33872.08,          33672.48,          46500.14,          48041.72,          42105.96,          40840.99,          39610.47,          33582.59,          27251.31,          25956.86,          26144.78,          26454.99,          24716.17,          21846.18,          21959.84,          19523.91,          16148.22,          13382.99,          15829.71,          14162.88,          12861.62,           9761.32,
