Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),        5733770.00,        5823560.00,        5995430.00,        5398480.00,        5529110.00,        6425250.10,        6301889.86,        6150620.18,        6087460.26,        5354420.17,        4319280.10,        4595390.09,        3954479.99,        3356730.06,        2864000.01,        2368619.94,        2055240.02,        2012310.01,        2242700.12,        2292219.90,        2075440.05,        2300299.97,        2279629.91,        2079400.00,        1921640.04,        1802130.03,        1576859.99,        1371230.04,        1450719.97,        1179419.93,        1007680.00,         923091.00
,...,...,Export,No. Of Export partners,            230.00,            234.00,            232.00,            231.00,            229.00,            231.00,            234.00,            233.00,            233.00,            231.00,            231.00,            232.00,            233.00,            229.00,            231.00,            227.00,            227.00,            229.00,            229.00,            225.00,            214.00,            212.00,            216.00,            216.00,            213.00,            211.00,            197.00,            187.00,            192.00,            187.00,            175.00,
,...,...,Export,No. Of Export products,           4520.00,           4563.00,           4620.00,           4582.00,           4595.00,           4581.00,           4617.00,           4640.00,           4670.00,           4665.00,           4676.00,           4719.00,           4825.00,           4841.00,           4869.00,           4857.00,           4862.00,           4877.00,           4896.00,           4872.00,           4914.00,           4920.00,           4941.00,           4962.00,           4940.00,           4939.00,           4889.00,           4843.00,           4796.00,           4682.00,           4005.00,
,...,...,Import,No. Of Import partners,            237.00,            236.00,            237.00,            237.00,            238.00,            236.00,            238.00,            237.00,            237.00,            234.00,            235.00,            234.00,            234.00,            233.00,            232.00,            233.00,            231.00,            232.00,            232.00,            227.00,            218.00,            212.00,            217.00,            217.00,            218.00,            213.00,            212.00,            194.00,            188.00,            175.00,            120.00,
,...,...,Import,No. Of Import products,           4629.00,           4768.00,           4785.00,           4774.00,           4767.00,           4761.00,           4814.00,           4864.00,           4870.00,           4879.00,           4884.00,           4904.00,           4922.00,           4928.00,           4951.00,           4945.00,           4950.00,           4950.00,           4958.00,           4954.00,           4981.00,           4981.00,           5022.00,           5016.00,           5019.00,           5012.00,           5012.00,           5000.00,           4991.00,           4974.00,           4442.00,
,...,...,Tariff,No. Of Tariff Agreement,           1111.00,           1150.00,           1106.00,           1087.00,           1234.00,           1029.00,            926.00,            981.00,            939.00,            830.00,            830.00,            869.00,            551.00,            550.00,            245.00,            279.00,             29.00,             27.00,             17.00,             27.00,             40.00,             15.00,             12.00,              8.00,             97.00,             49.00,            173.00,             11.00,             50.00,             11.00,             11.00,
,...,...,Development,Trade Balance (current US$ Mil),         -92140.00,        -123340.00,         -88160.00,         -83610.00,        -140880.00,        -175389.93,        -109200.02,         -44619.92,          12170.04,          32200.07,           5302.98,          -4420.01,          45619.02,          80310.96,          73766.99,          57291.96,          44159.99,          22273.98,         -16301.00,         -14287.99,         -20260.00,         -56921.00,         -41795.03,         -15295.02,         -14266.01,         -31668.01,         -25325.99,         -12730.01,           6262.00,          22579.00,          25462.00,          19671.00
,Argentina,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,          23714.22,,,,,,          29570.19,          23572.50,,,          18434.39,,,,,,           6776.31,           8223.71,           7081.95,           9027.81,           9042.40,           7175.07,,,           4836.19,           4049.34,,,,
,Argentina,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,          12487.95,          12556.24,          10609.26,          13361.11,          13495.49,          11416.24,           9604.22,           6980.59,           4220.40,           3478.79,           2997.53,           2503.79,           1375.02,
,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          26070.88,          28224.52,          25135.76,          23077.73,          25924.34,          35334.28,          38927.03,          38134.94,          37588.80,          31311.72,          23197.60,          30539.40,          22214.59,          18675.09,          13884.30,          11311.79,           8220.80,           8252.47,          11135.23,          12491.79,           8832.28,          11822.55,          12835.85,          11190.70,          10596.51,           6398.44,,,,,,
,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          43153.92,          50703.33,          43072.65,          35444.33,          35937.65,          39251.78,          47758.85,          48009.88,          53840.44,          43641.47,          32154.63,          46835.14,          39626.27,          34601.07,          30163.17,          22776.55,          15307.78,          11410.70,          13429.44,          13518.43,          10886.28,          13153.80,          13085.51,          10636.67,           9338.62,           9631.48,           6909.99,           3163.11,,,,
,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          23513.52,          23571.39,          20632.36,          19122.78,          20390.40,          21891.47,,,,,,,,,,,,,,,,,,,,,,,,,,
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         123736.73,         122522.34,          94219.85,          74378.36,          74486.57,          85061.95,          92914.31,          83799.28,          86337.29,          67809.63,          46839.93,          39547.38,          33824.19,          23135.23,          19134.78,          14326.76,          11252.02,,,,,,,,,,,,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         184201.57,         193114.40,         173884.97,         157196.11,         170642.97,         175587.40,         175675.53,         165268.81,         152252.92,         120337.55,          81618.60,          95998.03,          71785.44,          54396.38,          36344.17,          27715.34,          17948.58,          12399.87,,,,,,,,,,,,,,
,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1298.83,
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           2250.91,           1685.79,,
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,           7730.64,,,           6705.24,           7669.61,           7310.23,,,           6612.61,           5990.79,           4141.54,           4089.45,           4167.51,           3110.07,           1571.94,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          39167.01,          40965.26,          37828.91,          34187.62,          36593.87,          41226.19,          43830.56,          42275.67,          42626.41,          35569.43,          28682.75,          35507.75,          27722.36,,          20930.29,          17393.58,          14529.55,          14471.29,          15318.86,          14165.72,          14312.78,          15575.96,          14544.49,          12827.73,          12678.57,          10789.57,           7806.81,           5912.92,           5387.30,           4063.52,           1626.54,
,Iraq,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           1691.86,
,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,           6593.19,           7139.43,           7642.97,           6985.15,           6503.89,           8804.48,           8601.42,           8812.75,           7179.21,           5382.86,           5462.59,           5798.60,           5179.78,           2416.17,
,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          30360.88,          31848.40,          31268.95,          29912.05,          31792.88,          33847.90,          35524.64,          37496.68,          37073.34,          33577.77,          25287.67,          35923.93,          31528.02,          27755.75,          23631.76,          19457.34,          14831.74,          16561.31,          16409.78,          14416.71,          13175.85,          15562.57,          14661.45,          11803.34,          12242.79,          12057.24,           8518.60,           6792.99,           5214.70,           3671.50,           1608.25,
,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,          24236.26,,          19588.95,          19477.09,          25281.91,,          27823.26,,,          17994.98,          24865.95,          20262.50,          16606.35,          13292.43,          12208.84,          10654.45,           7331.35,,,,,           7407.87,           7278.93,           6194.34,           6122.02,           4654.13,           3414.27,           3208.12,           3250.76,           2816.03,
,"Other Asia, nes",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,          33450.26,,,,,,,,,,,,,,,,,,,,,,,,,
,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,           2519.56,           2431.21,,
,United States,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         444446.16,         450502.75,         418332.70,         385714.91,         396740.16,         425175.25,         407819.51,         402504.95,         382957.43,         322833.28,         256153.31,         355894.44,         307765.09,         326886.15,         283026.31,         249482.53,         204243.79,         194773.57,         188598.42,         203220.70,         165750.64,         139881.77,         135850.36,         120849.24,          99558.62,          81717.48,          60263.63,          52406.75,          31305.64,          27839.00,           7898.54,
,United States,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         316503.10,         339033.69,         309285.39,         281958.75,         304793.22,         335303.93,         333711.44,         336580.84,         319268.55,         259449.09,         208783.63,         268374.55,         232134.10,         206944.00,         185435.10,         164572.83,         150741.49,         152851.97,         166465.95,         175710.02,         153963.62,         149375.21,         138822.16,         111920.82,          96012.05,          86990.65,          69148.73,          59888.24,          35348.50,          25896.59,           4139.39,
,Unspecified,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          21722.19,,,,,,          67996.61,          81370.32,          83315.24,          61885.78,          56043.02,          38706.47,,          20581.86,          20670.27,          13423.72,,           9378.07,           8120.42,,,,,,,,,,,,,
,Unspecified,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,          33343.03,,,,,,,,,,,,,,,,,,
,World,All Products,Tariff,Duty Free Imports (US$ Thousand),      246727875.43,      663473643.94,      566721761.11,      321250832.43,      450376254.31,      587320228.48,      413490888.81,      432218415.43,      438148895.90,      335710964.66,      338456658.86,      463345056.87,      377318886.87,      309097303.65,      238182504.73,      214110493.85,       42358110.21,       85869066.14,       42892436.30,       32646023.03,       17719493.42,       24680681.96,       21941487.72,       17142104.93,       36394630.42,        5604487.38,        7348945.97,        6276033.65,       11785871.80,        7698031.18,        1322713.98,
,World,Animal,Export,Export(US$ Mil),          46852.92,          43183.59,          40869.40,          36916.40,          36996.29,          43000.42,          39046.69,          36198.55,          35650.75,          29886.23,          26732.83,          30895.30,          25090.22,          21989.84,          19774.82,          16439.28,          12336.99,          10293.09,          10214.94,           9428.95,           9191.83,           9290.50,           9394.21,           8442.43,           8099.51,           6679.90,           5014.95,           3373.48,           2967.39,           1902.85,            729.58,
,World,Capital goods,Export,Export(US$ Mil),         260195.41,         257232.47,         237177.08,         223235.93,         222507.84,         223228.73,         220216.79,         208938.35,         190477.17,         167051.24,         127324.18,         160904.72,         143276.18,         138852.62,         122148.74,         108319.33,          91335.46,          86785.65,          87130.82,          87747.52,          72666.36,          61378.31,          53506.54,          43525.24,          36822.48,          30698.12,          24652.41,          20283.00,           9913.56,           8815.51,           5495.03,
,World,Chemicals,Export,Export(US$ Mil),          32268.39,          34225.71,          37600.68,          35951.24,          41242.17,          45414.13,          48883.26,          49769.90,          49139.88,          39336.34,          32370.41,          38229.85,          30314.57,          27164.57,          23515.17,          20372.64,          16262.00,          14879.50,          14881.26,          14443.84,          13149.91,          12844.12,          12589.03,          11275.89,          10351.56,           7973.90,           6134.50,           5225.35,           4780.13,           3396.77,           1618.25,
,World,Consumer goods,Export,Export(US$ Mil),         217807.37,         222222.76,         216005.92,         192768.71,         207507.90,         226076.26,         251260.44,         254516.94,         222387.15,         213483.18,         184535.57,         229957.73,         188026.29,         172451.87,         158225.13,         130466.57,         104574.50,         101627.28,         105447.32,         106921.81,          81310.78,          83102.93,          77951.41,          67000.10,          57334.22,          47521.32,          35981.46,          28400.22,          16526.06,          12634.80,           6942.32,
,World,Food Products,Export,Export(US$ Mil),          67071.99,          70767.67,          72789.89,          69606.81,          67206.39,          75027.99,          77839.92,          75427.38,          74501.35,          63450.63,          56733.41,          55774.33,          46178.41,          41003.47,          34342.20,          29810.99,          25671.18,          23275.18,          22545.47,          19457.70,          19485.42,          19988.83,          21998.68,          20946.94,          17164.48,          14031.99,          11313.61,           9034.25,           7062.36,           6670.97,           5289.44,
,World,Footwear,Export,Export(US$ Mil),           2183.07,           2624.63,           3628.70,           3516.13,           3747.52,           4118.59,           4075.76,           4214.29,           3986.98,           3693.57,           3272.26,           4111.40,           3945.08,           3680.25,           2892.51,           2723.57,           2385.43,           2262.53,           2277.34,           2233.77,           2000.13,           2123.78,           2459.16,           2315.11,           2097.85,           2183.37,           2521.36,           1935.54,           1537.66,           1315.80,           1317.64,
,World,Fuels,Export,Export(US$ Mil),          98172.60,         109019.12,          83234.65,          59484.34,          78003.73,         139481.57,         236712.00,         253336.65,         220933.01,         178687.24,         141982.59,         208131.29,          99916.16,         149071.77,         122072.73,          85268.79,          61403.41,          51171.72,          52301.43,          61706.34,          37833.07,          27497.58,          39708.85,          41265.60,          31419.60,          26814.48,          13402.72,          13589.00,          13121.93,          10594.18,            852.13,
,World,Hides and Skins,Export,Export(US$ Mil),           3011.55,           3730.97,           4392.39,           4629.77,           5267.86,           6391.94,           5684.74,           5080.37,           4963.15,           4425.76,           3207.53,           4889.74,           5313.29,           4671.33,           3882.05,           3618.42,           3102.09,           2852.09,           3019.88,           3021.16,           2589.82,           2722.47,           2971.61,           2716.26,           2642.64,           2226.91,           1665.14,            816.74,            631.88,            444.69,            324.69,
