Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Mexico,...,...,Development,GDP (current US$ Mil),        1268870.00,        1222350.00,        1158910.00,        1078490.00,        1171870.00,        1315349.99,        1274440.06,        1201089.94,        1180490.01,        1057800.00,         900045.01,        1109990.05,        1052699.98,         975386.97,         877475.99,         782240.97,         729335.99,         772106.03,         756705.98,         707907.03,         600233.02,         526502.00,         500413.01,         410975.99,         360073.99,         527812.98,         500736.00,         363158.01,         313143.00,         261254.00,         221401.00,         181612.00
Mexico,...,...,Export,No. Of Export partners,            161.00,            151.00,            156.00,            145.00,            142.00,            150.00,            194.00,            203.00,            202.00,            194.00,            201.00,            200.00,            201.00,            200.00,            186.00,            174.00,            174.00,            175.00,            180.00,            184.00,            170.00,            164.00,            169.00,            168.00,            160.00,            155.00,            142.00,            143.00,            154.00,            157.00,,
Mexico,...,...,Export,No. Of Export products,           3050.00,           3040.00,           3067.00,           3071.00,           3089.00,           3104.00,           4246.00,           4256.00,           4219.00,           4243.00,           4225.00,           4242.00,           4420.00,           4448.00,           4472.00,           4216.00,           4244.00,           4287.00,           4396.00,           4380.00,           4548.00,           4568.00,           4569.00,           4559.00,           4399.00,           4404.00,           4151.00,           4156.00,           4150.00,           4149.00,,
Mexico,...,...,Import,No. Of Import partners,            210.00,            205.00,            209.00,            200.00,            206.00,            202.00,            222.00,            223.00,            221.00,            224.00,            224.00,            223.00,            223.00,            222.00,            222.00,            204.00,            184.00,            186.00,            194.00,            188.00,            181.00,            178.00,            170.00,            163.00,            176.00,            166.00,            142.00,            140.00,            152.00,            159.00,,
Mexico,...,...,Import,No. Of Import products,           3982.00,           3985.00,           3970.00,           3985.00,           3999.00,           4036.00,           4473.00,           4461.00,           4511.00,           4521.00,           4508.00,           4518.00,           4760.00,           4771.00,           4760.00,           4720.00,           4714.00,           4716.00,           4788.00,           4799.00,           4861.00,           4863.00,           4850.00,           4860.00,           4862.00,           4884.00,           4871.00,           4878.00,           4915.00,           4908.00,,
Mexico,...,...,Tariff,No. Of Tariff Agreement,,             57.00,             57.00,              1.00,              1.00,             47.00,              1.00,              1.00,              1.00,             40.00,             52.00,             52.00,             18.00,             26.00,             18.00,             18.00,              1.00,             13.00,              1.00,              1.00,              8.00,              1.00,              1.00,              1.00,              7.00,,,,              1.00,,,
Mexico,...,...,Development,Trade Balance (current US$ Mil),          -3180.00,         -24989.00,         -21006.00,         -21331.00,         -23898.00,         -15501.00,         -14701.00,         -14846.00,         -16482.99,         -14438.99,         -14921.01,         -26351.01,         -18326.00,         -14069.01,         -12926.01,         -14124.01,         -10829.00,         -12298.99,         -13867.01,         -11463.00,          -8118.99,          -9515.00,           -558.00,           6538.00,           7119.98,         -20818.31,         -16350.62,         -18303.16,          -9143.00,          -2901.89,           -144.47,           2545.79
Mexico,Aruba,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,           1398.52,,,,,,,,,,,,,,,,
Mexico,Brazil,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,           3783.95,,           5382.93,           5657.55,,           3781.08,,           3366.87,,,,,,,,,,            738.10,,            974.37,            800.17,,,,,,,
Mexico,Brazil,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,           1077.28,           1029.21,,,,
