Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Rwanda,...,...,Development,GDP (current US$ Mil),          10354.42,           9635.95,           9253.10,           8697.27,           8545.44,           8246.17,           7819.54,           7655.14,           6884.89,           6124.12,           5673.41,           5179.11,           4069.64,           3319.20,           2933.28,           2376.38,           2138.24,           1965.90,           1966.67,           2068.93,           2157.29,           1989.34,           1851.56,           1382.33,           1293.53,            753.64,           1971.53,           2029.03,           1911.60,           2550.19,           2405.02,           2395.49
Rwanda,...,...,Export,No. Of Export partners,            112.00,            114.00,            107.00,            112.00,            103.00,             84.00,             98.00,             92.00,             98.00,             81.00,             79.00,             85.00,             81.00,             82.00,             92.00,             79.00,             62.00,             66.00,             57.00,,             29.00,             27.00,             24.00,             22.00,,,,,,,,
Rwanda,...,...,Export,No. Of Export products,           2243.00,           2039.00,           1309.00,           1023.00,           1140.00,           1069.00,           1018.00,            503.00,            858.00,            765.00,            708.00,            683.00,            640.00,            457.00,            500.00,            377.00,            267.00,            258.00,            247.00,,             82.00,             87.00,            148.00,            142.00,,,,,,,,
Rwanda,...,...,Import,No. Of Import partners,            159.00,            169.00,            167.00,            161.00,            163.00,            167.00,            156.00,            153.00,            155.00,            179.00,            169.00,            136.00,            136.00,            133.00,            121.00,            125.00,            111.00,            111.00,            107.00,,            101.00,            112.00,            108.00,            102.00,,,,,,,,
Rwanda,...,...,Import,No. Of Import products,           3532.00,           3490.00,           3522.00,           3538.00,           3547.00,           3551.00,           3500.00,           3289.00,           3588.00,           3642.00,           3613.00,           3767.00,           3399.00,           3090.00,           2800.00,           2599.00,           2576.00,           2598.00,           2546.00,,           2236.00,           2248.00,           2348.00,           2475.00,,,,,,,,
Rwanda,...,...,Tariff,No. Of Tariff Agreement,              5.00,              5.00,,              5.00,              5.00,              6.00,              6.00,              6.00,              6.00,              6.00,              6.00,              5.00,,              3.00,              5.00,,              2.00,              1.00,              2.00,,,,,,,,,,,,,
Rwanda,...,...,Development,Trade Balance (current US$ Mil),          -1481.60,          -1304.48,          -1167.60,          -1617.96,          -1609.87,          -1345.20,          -1243.10,          -1279.06,          -1001.51,           -970.64,           -912.67,           -784.59,           -351.68,           -381.79,           -376.22,           -300.81,           -293.99,           -298.62,           -286.24,           -344.69,           -355.08,           -350.61,           -330.92,           -278.78,           -267.38,           -440.81,           -302.21,           -257.58,           -205.28,           -215.62,           -268.14,           -263.11
Rwanda,Austria,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,             55.06,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Bahrain,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,             14.15,,,,,,,,,,,,,,
Rwanda,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,             40.95,,,,             36.80,             38.15,             46.82,             26.80,             29.48,             65.84,             25.59,             22.47,             37.91,,,              2.75,,,              4.95,,,,,,,,,,,
Rwanda,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,             64.98,             43.06,             38.45,             44.97,             25.08,             26.78,             26.51,             48.83,,             53.37,,,,,,,,,,,
Rwanda,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,              1.96,              2.48,              1.83,,,,,,,,
Rwanda,Belgium-Luxembourg,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,             55.86,             49.29,             40.46,,,,,,,,
Rwanda,Bouvet Island,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,            124.63,,,,,,,,,,,,,
Rwanda,Burundi,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             30.71,,,,,,,,,,,,,,,,,,              0.96,,,,,,,,,,
Rwanda,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,             29.03,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            635.33,            519.52,            451.75,            445.76,            397.66,            359.57,            241.08,            211.38,            150.80,            113.59,             92.00,             95.15,             43.06,,,,,,,,,,,,,,,,,,,
Rwanda,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            372.59,            337.22,            280.27,            203.07,            193.33,            189.63,            161.60,,             44.62,             18.13,,             51.67,,,,,              2.07,,,,,,,,,,,,,,,
Rwanda,Eswatini,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,             23.59,             20.27,,,,,,,,,,,,,,,,,,,,
Rwanda,Fm Sudan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,             28.08,,,,,,,,,,,,,,,,,,,,,
Rwanda,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,             30.70,             47.50,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,              3.97,,              2.47,,,,,,,,,
Rwanda,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,             12.91,,,,,,,,
Rwanda,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,             68.97,             94.65,,,,,             18.76,,             19.15,             15.97,             25.91,             23.01,             14.78,             13.74,,,              4.64,,,,,,,,,,,,,,
Rwanda,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            280.53,            287.73,            279.03,            309.18,            289.82,            256.67,            196.75,            138.50,            112.70,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,             78.90,,,,,,             18.36,             23.67,             17.68,             15.34,,             12.09,,,,,,,,,,,
Rwanda,Kenya,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,             97.95,            104.09,             80.20,             95.65,            106.04,             62.92,             39.30,             83.10,            126.29,             34.29,             30.15,             32.98,             23.70,             20.77,             19.31,             25.21,,             33.51,             27.19,             36.13,              2.86,,,,,,,,
Rwanda,Kenya,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            278.45,            175.72,            155.75,            145.66,            142.33,            173.80,            126.81,            127.01,            119.51,            127.88,            123.90,            146.34,             93.89,            170.89,             50.51,             38.84,             29.82,             30.68,             26.96,,             54.55,             71.67,             64.62,             42.17,,,,,,,,
Rwanda,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,              6.53,,,,,,,,,,,,,,
Rwanda,Pakistan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,             39.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rwanda,Saudi Arabia,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,             37.75,             28.83,             23.29,             29.60,,,,,,,,,,,,,
