Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,...,...,Development,GDP (current US$ Mil),        1766940.00,        1721160.00,        1641780.00,        1540370.00,        1661910.00,        1808739.99,        1742080.05,        1635109.96,        1553950.05,        1376529.94,        1161740.03,        1219230.04,        1062980.03,         915865.01,         771369.01,         649419.03,         522089.01,         416683.00,         382158.01,         400343.01,         375974.00,         370895.00,         384264.99,         369849.01,         358023.99,         312223.99,         317223.99,         340484.00,         345010.01,         340126.99,         302833.00,         304644.00
,...,...,Export,No. Of Export partners,            228.00,            228.00,            233.00,            230.00,            231.00,            232.00,            231.00,            235.00,            234.00,            232.00,            232.00,            232.00,            232.00,            226.00,            229.00,            230.00,            229.00,            229.00,            230.00,            228.00,            215.00,            218.00,            211.00,            208.00,            208.00,            194.00,            185.00,            174.00,            102.00,            105.00,,
,...,...,Export,No. Of Export products,           4535.00,           4567.00,           4578.00,           4562.00,           4553.00,           4600.00,           4677.00,           4715.00,           4708.00,           4735.00,           4691.00,           4753.00,           4824.00,           4842.00,           4847.00,           4856.00,           4874.00,           4868.00,           4891.00,           4876.00,           4868.00,           4840.00,           4854.00,           4846.00,           4834.00,           4652.00,           4609.00,           4552.00,           1766.00,           1831.00,,
,...,...,Import,No. Of Import partners,            236.00,            236.00,            235.00,            235.00,            235.00,            235.00,            233.00,            236.00,            237.00,            237.00,            235.00,            234.00,            235.00,            235.00,            234.00,            232.00,            234.00,            236.00,            235.00,            234.00,            220.00,            221.00,            220.00,            216.00,            221.00,            195.00,            185.00,            171.00,            102.00,            109.00,,
,...,...,Import,No. Of Import products,           4627.00,           4627.00,           4641.00,           4628.00,           4620.00,           4744.00,           4834.00,           4854.00,           4857.00,           4908.00,           4916.00,           4925.00,           4971.00,           4978.00,           4981.00,           4988.00,           4994.00,           5003.00,           5002.00,           5016.00,           5011.00,           5015.00,           5019.00,           5023.00,           5016.00,           4988.00,           4928.00,           4850.00,           3901.00,           3980.00,,
,...,...,Tariff,No. Of Tariff Agreement,            534.00,            556.00,            537.00,            693.00,            645.00,            551.00,            517.00,            578.00,            685.00,            563.00,            522.00,            593.00,            483.00,            417.00,            284.00,            140.00,            134.00,            219.00,            144.00,             87.00,             20.00,             91.00,             12.00,             82.00,             38.00,             40.00,,,,,,
,...,...,Development,Trade Balance (current US$ Mil),         -68776.00,         -44637.00,         -40698.00,         -71240.00,         -82837.00,         -18098.00,         -28351.99,          52204.99,          40276.00,          15184.00,         -37485.97,          29394.99,           3336.01,          40886.99,          12520.00,           4976.00,           -233.00,           5544.00,           4524.00,          18356.00,           1601.50,         -10089.86,          -1026.00,           1364.00,            352.44,            313.82,           3016.66,           4912.40,           6605.26,           8996.07,           8981.14,           3976.23
,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          25987.28,          51532.28,          40741.16,          27917.03,          29878.97,          46634.35,          55464.61,          60496.96,          54442.44,          44625.80,          32837.96,          18854.75,          22973.26,           8134.35,           5851.82,,,,,,,,,,,,,,,,,
,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          45548.24,          53824.08,          49690.14,          47501.90,          53295.11,          50045.10,          47722.27,          40597.09,          40688.51,          35205.32,          27589.86,          25664.06,          23088.49,          15948.42,           9791.03,           6742.51,,,,,,,,,,,,,,,,
,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,          10963.53,,          11361.39,           8483.30,,           4804.21,           5134.17,           4307.16,           4338.49,           4582.41,           3704.99,           2912.83,           2941.54,           3495.68,           2368.64,,,,             93.82,             98.50,,
,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,          13236.13,          11935.63,          12038.25,          12618.08,           9836.77,           8425.01,           8315.28,           7089.77,           5291.71,           5005.14,           4812.60,           5061.92,           5698.06,           5153.98,           4681.23,           3700.97,           1869.26,,,            153.36,            190.57,,
,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,           3270.46,,           2887.03,           2748.73,,,,,,           1130.90,            101.92,             90.82,,
,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          12397.33,          13735.11,          14855.59,          14073.67,          14520.88,          15680.91,          16122.76,          14403.94,          16889.57,          13533.48,          11048.86,          14988.65,          14071.36,          12369.54,           9898.18,           8411.96,           7718.55,           6139.70,           6098.55,           5238.41,           5143.62,           5443.42,           5843.70,           5745.08,           5430.77,           3906.94,           3017.90,           3140.96,             64.07,             72.71,,
,India,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          18493.50,          26807.25,          23339.74,          16854.26,          21049.10,          28645.68,          24627.96,          28826.92,          25273.69,          18771.23,          11915.95,          12286.48,,,,,,           3136.94,           2909.85,           4767.70,           3696.24,,,,,,,,,,,
,India,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          17086.53,          18269.11,          17007.19,          16980.84,          18684.89,          19713.70,          21800.14,          16383.44,          14780.04,,,,,,,,,,,,,,,,,,,,,,,
,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,           5981.94,           4924.48,           4973.65,,,,,,,,           2324.27,           1257.70,           1361.48,           1153.70,             82.65,             74.45,,
,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,           3534.99,,,           3392.57,           4002.58,           2544.85,           2481.67,           2097.60,             76.24,             79.27,,
,Netherlands,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          11338.04,          15059.27,          11322.32,,          13176.26,          20407.52,          19061.82,,,          11706.62,,          11940.46,,,           5527.30,           4752.18,           4185.18,           3075.97,,,,           2247.94,           3111.78,           2805.94,,,,,,,,
,South Africa,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,          14765.26,          24756.09,          20011.38,          16949.42,          15822.27,          18746.10,          19946.26,          23498.77,          18706.53,          14326.41,          11020.45,,          10536.06,,,,,,,,,,,,,,,,,,,
,South Africa,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,          17302.74,          22226.21,          22118.51,          21907.56,          24511.21,          27860.49,          30285.47,          29437.10,          30316.66,          22369.35,          24005.54,          19169.37,          16294.72,          12861.51,          11862.03,          12221.62,          10909.63,           9285.12,           7372.55,           7473.28,,,,,,,,,            246.97,            192.33,,
,Spain,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,          17232.58,,,,,,,,           8105.53,,,,,,,,,,           2811.36,,,,,,,,
