Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
 World,...,...,Development,GDP (current US$ Mil),       87734600.00,       86439400.00,       81306000.00,       76369000.00,       75217700.00,       79453296.26,       77316298.38,       75161801.85,       73460298.55,       66125899.50,       60410300.47,       63690200.06,       58043601.52,       51512201.97,       47526799.47,       43874600.88,       38948202.09,       34712500.31,       33430800.70,       33623600.27,       32563200.52,       31393700.64,       31458299.22,       31573200.08,       30887299.25,       27771199.82,       25858200.83,       25453200.93,       23966898.98,       22626699.31,       20087700.00,       19244400.00
 World,...,...,Export,No. Of Export partners,            238.00,            238.00,            238.00,            239.00,            238.00,            238.00,            239.00,            238.00,            238.00,            237.00,            236.00,            235.00,            236.00,            236.00,            234.00,            235.00,            235.00,            237.00,            236.00,            235.00,            223.00,            222.00,            222.00,            222.00,            226.00,            226.00,            226.00,            224.00,            202.00,            204.00,            203.00,            200.00
 World,...,...,Export,No. Of Export products,           4616.00,           4669.00,           4686.00,           4757.00,           4771.00,           4802.00,           4815.00,           4824.00,           4806.00,           4859.00,           4888.00,           4918.00,           4954.00,           4948.00,           4965.00,           4969.00,           4985.00,           4977.00,           4984.00,           5016.00,           5028.00,           5033.00,           5034.00,           5036.00,           5037.00,           5037.00,           5037.00,           5038.00,           5036.00,           5036.00,           5035.00,           5032.00
 World,...,...,Import,No. Of Import partners,            239.00,            240.00,            239.00,            238.00,            239.00,            238.00,            239.00,            238.00,            240.00,            238.00,            236.00,            236.00,            236.00,            236.00,            234.00,            235.00,            236.00,            237.00,            237.00,            236.00,            223.00,            222.00,            222.00,            222.00,            226.00,            226.00,            226.00,            224.00,            203.00,            204.00,            201.00,            199.00
 World,...,...,Import,No. Of Import products,           4649.00,           4781.00,           4826.00,           4869.00,           4862.00,           4872.00,           4876.00,           4902.00,           4909.00,           4925.00,           4938.00,           4949.00,           5010.00,           5010.00,           5020.00,           5017.00,           5020.00,           5025.00,           5033.00,           5034.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5037.00,           5038.00,           5036.00,           5036.00,           5036.00,           5035.00
 World,...,...,Tariff,No. Of Tariff Agreement,           1598.00,           1526.00,           1447.00,           1369.00,           1515.00,           1434.00,           1277.00,           1286.00,           1312.00,           1293.00,           1257.00,           1340.00,            847.00,            818.00,            670.00,            528.00,            413.00,            403.00,            322.00,            334.00,            277.00,            211.00,            322.00,            208.00,            155.00,             55.00,            124.00,             51.00,             44.00,             45.00,             43.00,             38.00
 World,...,...,Development,Trade Balance (current US$ Mil),         473200.00,         518000.00,         524300.00,         476200.00,         498400.00,         638800.89,         730899.42,         735599.13,         661001.34,         570400.18,         380099.36,         396399.48,         418900.87,         320099.84,         190899.55,         139800.35,          91010.11,          74280.08,         -12489.59,          16269.71,          77570.51,         117060.40,         150459.65,         114710.02,         127299.75,         114330.44,         103260.09,         103930.13,          14099.68,         -68519.99,         -77680.00,         -55510.00
 World,Canada,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         101760.63,,,
 World,Canada,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,         112201.28,,,
 World,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,        1655913.11,        1754786.60,        1573679.45,        1341200.43,        1352347.28,        1527032.00,        1554585.47,        1442002.29,        1430291.43,        1185265.61,         869870.23,         904263.63,         807330.88,         669015.50,         554792.36,         472089.71,         361593.72,,,,,,,,,,,,,,,
 World,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,        2561034.34,        2750810.59,        2627888.22,        2260387.25,        2450959.52,        2528687.47,        2397501.14,        2309016.84,        2229226.65,        1944113.54,        1515548.25,        1778312.12,        1553931.63,        1286336.44,        1053192.10,         845245.99,         638932.34,         504555.08,         420992.01,         405332.01,         318542.15,         282497.27,         279015.03,         243989.10,,         181354.90,         141461.69,,,,,
 World,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,         634331.65,,,,,,,,         711938.98,         609978.66,         562845.65,         693402.94,         619372.18,         551077.04,         489044.54,         453423.38,         380713.81,         319645.36,         308374.86,         311644.68,         290910.31,         281170.01,         264648.35,         266900.44,         260214.70,         191035.26,         142685.88,         137064.05,         108282.65,          91465.70,          76532.63,          55841.76
 World,France,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,         601615.26,         591855.40,         576841.45,         598028.55,         526976.36,         485119.34,         611991.80,         559730.26,         493202.53,         439813.70,         425812.69,         363844.80,         306284.40,         297252.77,         295708.77,         291723.60,         292249.00,         274872.51,         265395.72,         262465.10,         196583.28,         145454.75,         138355.02,         110398.81,          88263.51,          68190.06,          47463.34
 World,Germany,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,        1159058.98,        1207600.16,        1085140.75,         989708.16,         989157.18,        1127152.85,        1102061.00,        1072112.51,        1137331.69,         973598.23,         852688.56,        1096650.77,         962652.00,         839916.24,         730651.59,         674160.14,         566512.99,         472512.75,         466635.05,         468460.86,         437124.79,         445409.67,         426409.02,         428107.90,         425485.75,         315745.35,         190361.68,         166404.69,         103376.01,          71575.36,          56006.03,
 World,Germany,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,        1365367.12,        1436855.76,        1350349.15,        1245170.34,        1243365.07,        1404204.77,        1368992.92,        1321534.52,        1391453.88,        1190516.67,        1040808.72,        1366177.25,        1241340.44,        1041920.57,         926714.74,         861115.77,         712434.14,         588715.62,         541983.24,         527096.13,         507796.89,         503666.86,         478380.67,         477685.65,         467903.67,         348752.50,         209670.23,         190486.41,         121689.86,          94023.24,          74625.43,          41497.30
 World,"Hong Kong, China",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,         669416.78,         627977.84,         603562.92,         651402.79,         709392.45,         756662.38,,,,,,,,,,,,,,,,,,,,,,,,,
 World,Italy,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          40264.71
 World,Italy,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          72232.13,          55663.05,          38205.00
 World,Japan,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,         667594.23,,,,,,,,,,         287628.48,         289178.12,         303687.47,         256156.54,         224903.39,         267844.50,         268342.18,         252487.19,         204974.13,         163641.53,         145565.90,         129176.82,          78894.16,          70807.56,
 World,Japan,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,         790031.28,         807964.97,         784327.62,         726310.11,         713258.86,         782779.23,         807844.88,         884504.52,         898640.50,         830149.71,         642982.86,         855441.55,         784729.76,         716157.07,         664206.85,         626220.07,         522811.12,         461680.91,         446644.27,         513523.64,         441234.59,         409281.33,         440917.75,         406740.68,         424117.07,         375225.19,         321435.00,         260250.70,         223807.53,         110588.18,          95278.99,          52129.43
