Reporter,Partner,Product categories,Indicator Type,Indicator,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
Zambia,...,...,Development,GDP (current US$ Mil),          23309.77,          26312.14,          25868.17,          20954.75,          21243.34,          27150.73,          28045.55,          25503.06,          23459.51,          20265.56,          15328.34,          17910.86,          14056.96,          12756.86,           8331.87,           6221.08,           4901.84,           4193.85,           4094.48,           3600.68,           3404.31,           3537.68,           4303.28,           3597.22,           3807.07,           3656.65,           3273.24,           3181.92,           3378.88,           3285.22,           3998.64,           3713.61
Zambia,...,...,Export,No. Of Export partners,            121.00,            115.00,            109.00,            110.00,            105.00,            109.00,            125.00,            129.00,            124.00,            130.00,            126.00,            120.00,            110.00,             95.00,             96.00,             89.00,             97.00,             97.00,            104.00,            105.00,            104.00,             89.00,             67.00,             68.00,             64.00,,,,,,,
Zambia,...,...,Export,No. Of Export products,           1888.00,           1774.00,           1729.00,           1685.00,           1809.00,           1888.00,           1971.00,           2012.00,           1875.00,           2004.00,           2175.00,           2162.00,           2030.00,           1781.00,           1545.00,           1497.00,           1397.00,           1577.00,           1341.00,           1308.00,           1516.00,           1239.00,            789.00,            843.00,            757.00,,,,,,,
Zambia,...,...,Import,No. Of Import partners,            189.00,            179.00,            179.00,            185.00,            168.00,            158.00,            166.00,            159.00,            136.00,            136.00,            134.00,            135.00,            123.00,            121.00,            118.00,            122.00,            116.00,            124.00,            133.00,            135.00,            121.00,            111.00,            108.00,             94.00,            106.00,,,,,,,
Zambia,...,...,Import,No. Of Import products,           3916.00,           3937.00,           3899.00,           3927.00,           3940.00,           3988.00,           4038.00,           4044.00,           3996.00,           3960.00,           3887.00,           3920.00,           3969.00,           4038.00,           3995.00,           3947.00,           3909.00,           3924.00,           3844.00,           3726.00,           3900.00,           3957.00,           3914.00,           4109.00,           3894.00,,,,,,,
Zambia,...,...,Tariff,No. Of Tariff Agreement,,              6.00,,              3.00,              3.00,,              7.00,              7.00,              7.00,              3.00,              7.00,              7.00,              1.00,              1.00,              2.00,              1.00,              2.00,              3.00,              1.00,,,,              1.00,,,,,,,,,
Zambia,...,...,Development,Trade Balance (current US$ Mil),            112.19,            270.08,           -413.89,           -693.44,          -1187.16,            393.93,            142.87,            271.64,           1109.10,           1246.52,            364.91,           -289.47,            198.33,            934.96,            -81.56,           -232.24,           -536.50,           -446.61,           -591.61,           -451.52,           -329.98,           -248.16,           -151.92,           -246.90,           -130.38,            -27.42,,,,,,
Zambia,Belgium,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,             39.43,             55.52,,,,,,,,,,,
Zambia,Belgium,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,,,,,,,            461.86,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,Belgium-Luxembourg,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,            103.10,             75.33,,,,,,,,
Zambia,China,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,           1502.70,           1307.81,           1329.58,           1208.95,            993.18,           1794.10,           2260.58,           1809.05,           1517.87,           1451.17,            482.28,            278.95,,            273.44,            192.12,,,,,,,,,,,,,,,,,
Zambia,China,All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,           1020.90,           1291.09,           1121.23,            600.11,            693.74,            860.15,            963.28,            872.43,            724.99,            290.26,            178.90,            228.20,            250.37,,,,             44.67,,             36.19,,,,,,,,,,,,,
Zambia,"Congo, Dem. Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,            901.42,            863.76,            544.08,            428.57,            526.01,            802.93,           1189.26,            806.08,            404.17,            322.52,            287.21,            283.04,            282.67,,            108.67,            118.07,             60.63,             47.53,             33.91,             37.80,,,,,,,,,,,,
Zambia,"Congo, Dem. Rep.",All Products,Import,Trade (US$ Mil)-Top 5 Import Partner,            232.21,           1393.73,           1012.48,            738.21,            415.97,           1719.97,           1850.18,           1269.03,           1343.40,           1271.28,            491.28,            536.69,            169.84,,,,,,,,,,,,,,,,,,,
Zambia,"Congo, Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,             40.27,,,,,,,,,,,
Zambia,"Egypt, Arab Rep.",All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,            384.77,            232.01,            151.14,,,,,,,,,,,,,,,,,,
Zambia,France,All Products,Export,Trade (US$ Mil)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,             68.53,,,,,,,,,,
